,capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency,symbol
2020-12-31,3500000000.0,32249000000.0,8584000000.0,43500000000.0,,950000000.0,25615000000.0,-30970000000.0,21139000000.0,-2666000000.0,3613000000.0,-3613000000.0,,2020-12-31,28755000000.0,38763000000.0,619000000.0,24775000000.0,24775000000.0,,,0.0,,,-44000000.0,24775000000.0,,62334000000.0,USD,AAPL
2020-09-30,1784000000.0,21357000000.0,-5531000000.0,13197000000.0,,137000000.0,8329000000.0,-12206000000.0,5364000000.0,-2702000000.0,3511000000.0,-3511000000.0,,2020-09-30,12673000000.0,20576000000.0,1127000000.0,17187000000.0,17187000000.0,,-450000000.0,-5456000000.0,,,7153000000.0,16737000000.0,,27574000000.0,USD,AAPL
2020-06-30,1565000000.0,19116000000.0,5165000000.0,34762000000.0,,689000000.0,-44000000.0,474000000.0,1373000000.0,-2752000000.0,3656000000.0,-3656000000.0,,2020-06-30,11253000000.0,16271000000.0,984000000.0,15891000000.0,15891000000.0,,0.0,-8425000000.0,,,365000000.0,15891000000.0,,24390000000.0,USD,AAPL
2020-03-31,1853000000.0,20940000000.0,-9013000000.0,-23678000000.0,,-727000000.0,-8205000000.0,10207000000.0,-9290000000.0,-2786000000.0,3375000000.0,-3375000000.0,,2020-03-31,11249000000.0,13311000000.0,353000000.0,18574000000.0,18574000000.0,,-428000000.0,0.0,,,-7550000000.0,18146000000.0,,24384000000.0,USD,AAPL
2019-12-31,2107000000.0,25407000000.0,13668000000.0,49733000000.0,,28000000.0,1165000000.0,-5410000000.0,-5917000000.0,-2816000000.0,3539000000.0,-3539000000.0,,2019-12-31,22236000000.0,30516000000.0,1120000000.0,20706000000.0,20706000000.0,,-2000000.0,-2210000000.0,,,1958000000.0,20704000000.0,,48154000000.0,USD,AAPL
2019-09-30,2777000000.0,21039000000.0,798000000.0,28575000000.0,,785000000.0,19925000000.0,-22085000000.0,19320000000.0,-3179000000.0,3479000000.0,-3479000000.0,,2019-09-30,13686000000.0,19910000000.0,860000000.0,17444000000.0,17444000000.0,,-390000000.0,-6963000000.0,,,7902000000.0,17054000000.0,,29813000000.0,USD,AAPL
2019-06-30,2000000000.0,26804000000.0,-27502000000.0,-10277000000.0,,-1502000000.0,-2698000000.0,5496000000.0,214000000.0,-2933000000.0,3629000000.0,-3629000000.0,,2019-06-30,10044000000.0,11636000000.0,801000000.0,16955000000.0,16955000000.0,,-1000000.0,0.0,,,3980000000.0,16954000000.0,,21955000000.0,USD,AAPL
2019-03-31,2363000000.0,29457000000.0,-13348000000.0,30729000000.0,,-70000000.0,-10914000000.0,15536000000.0,-10675000000.0,-3040000000.0,3443000000.0,-3443000000.0,,2019-03-31,11561000000.0,11155000000.0,926000000.0,23702000000.0,23702000000.0,,,0.0,,,84000000.0,23312000000.0,,25354000000.0,USD,AAPL
2018-12-31,3355000000.0,13676000000.0,-5844000000.0,-18858000000.0,,1076000000.0,-10073000000.0,8301000000.0,-12035000000.0,-3395000000.0,3568000000.0,-3568000000.0,,2018-12-31,19965000000.0,26690000000.0,836000000.0,8796000000.0,8796000000.0,,,0.0,,,-12000000.0,8796000000.0,,43871000000.0,USD,AAPL
2018-09-30,3041000000.0,22580000000.0,3001000000.0,6058000000.0,,-1942000000.0,21040000000.0,-21898000000.0,22624000000.0,-2754000000.0,3530000000.0,-3530000000.0,,2018-09-30,14125000000.0,19523000000.0,902000000.0,19104000000.0,19104000000.0,,,0.0,,,54000000.0,18763000000.0,,30546000000.0,USD,AAPL
2018-06-30,3267000000.0,31523000000.0,-3947000000.0,13088000000.0,,-1693000000.0,1265000000.0,649000000.0,3946000000.0,-2665000000.0,3653000000.0,-3653000000.0,,2018-06-30,11519000000.0,14488000000.0,764000000.0,20783000000.0,20783000000.0,,,0.0,,,22000000.0,20782000000.0,,24803000000.0,USD,AAPL
2018-03-31,4195000000.0,26272000000.0,-28710000000.0,-17568000000.0,,3241000000.0,-24371000000.0,26512000000.0,-28468000000.0,-2739000000.0,3190000000.0,-3190000000.0,,2018-03-31,13822000000.0,15130000000.0,733000000.0,22756000000.0,22756000000.0,,,0.0,,,2000000.0,22429000000.0,,29990000000.0,USD,AAPL
2017-12-31,2810000000.0,7501000000.0,13590000000.0,-7202000000.0,,-434000000.0,14993000000.0,-52928000000.0,15230000000.0,-2745000000.0,3339000000.0,3232000000.0,,2017-12-31,20065000000.0,28293000000.0,623000000.0,10095000000.0,10095000000.0,,,-6969000000.0,,,-4000000.0,10095000000.0,,47095000000.0,USD,AAPL
2017-09-30,3865000000.0,3996000000.0,9942000000.0,-1718000000.0,,1709000000.0,16838000000.0,-16944000000.0,13040000000.0,2484000000.0,3270000000.0,3252000000.0,,2017-09-30,10714000000.0,15656000000.0,636000000.0,7795000000.0,7795000000.0,,,-6937000000.0,,,28000000.0,7514000000.0,,24631000000.0,USD,AAPL
2017-06-30,2277000000.0,1769000000.0,3180000000.0,-3414000000.0,,236000000.0,4571000000.0,1339000000.0,2002000000.0,2354000000.0,3469000000.0,3281000000.0,,2017-06-30,8717000000.0,8363000000.0,449000000.0,7093000000.0,7093000000.0,,,-10750000000.0,,,-3974000000.0,7092000000.0,,20025000000.0,USD,AAPL
2017-03-31,2975000000.0,2988000000.0,14202000000.0,1214000000.0,,198000000.0,-7725000000.0,11215000000.0,-7373000000.0,2332000000.0,2988000000.0,2988000000.0,,2017-03-31,11029000000.0,25713000000.0,510000000.0,7161000000.0,7161000000.0,,,-10975000000.0,,,1012000000.0,6888000000.0,,25713000000.0,USD,AAPL
2016-12-31,3334000000.0,12047000000.0,19122000000.0,4113000000.0,,580000000.0,704000000.0,-4448000000.0,-1322000000.0,2987000000.0,3042000000.0,3042000000.0,,2016-12-31,17891000000.0,75305000000.0,497000000.0,10851000000.0,10851000000.0,,,0.0,,,-4770000000.0,10851000000.0,,42071000000.0,USD,AAPL
2016-09-30,3977000000.0,6482000000.0,7397000000.0,-2247000000.0,,301000000.0,10611000000.0,-14398000000.0,10257000000.0,2548000000.0,3071000000.0,3071000000.0,,2016-09-30,9014000000.0,43392000000.0,424000000.0,6026000000.0,6026000000.0,,,-6970000000.0,,,8778000000.0,5778000000.0,,21202000000.0,USD,AAPL
2016-06-30,2809000000.0,9441000000.0,4470000000.0,3277000000.0,,-450000000.0,-7974000000.0,4916000000.0,-6681000000.0,2526000000.0,3117000000.0,3117000000.0,,2016-06-30,7796000000.0,35110000000.0,327000000.0,10166000000.0,10166000000.0,,,-2400000000.0,,,-8990000000.0,10166000000.0,,18265000000.0,USD,AAPL
2016-03-31,2336000000.0,2879000000.0,13660000000.0,-4825000000.0,,-170000000.0,-2087000000.0,10100000000.0,-724000000.0,2477000000.0,2879000000.0,2879000000.0,,2016-03-31,10516000000.0,24658000000.0,169000000.0,6667000000.0,6667000000.0,,,-15584000000.0,,,-1474000000.0,6421000000.0,,24658000000.0,USD,AAPL
